                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  39173.0000  04/01/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39174.0000  04/02/2007        1.9050        1.8080        0.0000        0.0000        0.0000        0.0000
  39175.0000  04/03/2007       15.7203       15.5945        0.0000        0.0000        0.0000        0.0000
  39176.0000  04/04/2007        0.3175        0.3030        0.0000        0.0000        0.0000        0.0000
  39177.0000  04/05/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39178.0000  04/06/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39179.0000  04/07/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39180.0000  04/08/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39181.0000  04/09/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39182.0000  04/10/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39183.0000  04/11/2007       35.9307       34.6666        0.0000        0.0000        0.0000        0.0000
  39184.0000  04/12/2007        7.6009        6.6409        0.0000        0.0000        0.0000        0.0000
  39185.0000  04/13/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39186.0000  04/14/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39187.0000  04/15/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39188.0000  04/16/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39189.0000  04/17/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39190.0000  04/18/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39191.0000  04/19/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39192.0000  04/20/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39193.0000  04/21/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39194.0000  04/22/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39195.0000  04/23/2007       15.1797       14.1815        0.0000        0.0000        0.0000        0.0000
  39196.0000  04/24/2007        0.9525        0.7352        0.0000        0.0000        0.0000        0.0000
  39197.0000  04/25/2007      291.1302      192.8461       82.1296        0.3750        0.0000       82.1296
  39198.0000  04/26/2007       34.1138       17.4531       17.9982        0.0000        0.0000       17.9982
  39199.0000  04/27/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39200.0000  04/28/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39201.0000  04/29/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39202.0000  04/30/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39203.0000  05/01/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39204.0000  05/02/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39205.0000  05/03/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39206.0000  05/04/2007        9.1272        7.7473        0.0000        0.0000        0.0000        0.0000
  39207.0000  05/05/2007        3.3338        3.3092        0.0000        0.0000        0.0000        0.0000
  39208.0000  05/06/2007      355.0278      120.0122      176.4215        0.0000        0.0000      176.4215
  39209.0000  05/07/2007      105.1964       81.6669       23.2274        0.0000        0.0000       23.2274
  39210.0000  05/08/2007        3.8100        3.7252        0.0000        0.0000        0.0000        0.0000
  39211.0000  05/09/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39212.0000  05/10/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39213.0000  05/11/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39214.0000  05/12/2007        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  39215.0000  05/13/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39216.0000  05/14/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39217.0000  05/15/2007       39.0422       38.6708        0.0000        0.0000        0.0000        0.0000
  39218.0000  05/16/2007       16.5068       16.3570        0.0000        0.0000        0.0000        0.0000
  39219.0000  05/17/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39220.0000  05/18/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39221.0000  05/19/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39222.0000  05/20/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39223.0000  05/21/2007        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  39224.0000  05/22/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39225.0000  05/23/2007        0.9525        0.7532        0.0000        0.0000        0.0000        0.0000
  39226.0000  05/24/2007       43.3649       42.7073        0.0000        0.0000        0.0000        0.0000
  39227.0000  05/25/2007       93.6961       73.8038       19.3356        0.0000        0.0000       19.3356
  39228.0000  05/26/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39229.0000  05/27/2007       15.2400       15.2091        0.0000        0.0000        0.0000        0.0000
  39230.0000  05/28/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39231.0000  05/29/2007        0.9525        0.4008        0.0000        0.0000        0.0000        0.0000
  39232.0000  05/30/2007       22.4290       21.6749        0.0000        0.0000        0.0000        0.0000
  39233.0000  05/31/2007        3.3337        2.8051        0.0000        0.0000        0.0000        0.0000
  39234.0000  06/01/2007       48.0506       47.6970        0.0000        0.0000        0.0000        0.0000
  39235.0000  06/02/2007        0.0000        0.0010        0.0000        0.0000        0.0000        0.0000
  39236.0000  06/03/2007       16.1925       14.4500        0.0000        0.0000        0.0000        0.0000
  39237.0000  06/04/2007        4.7625        3.8222        0.0000        0.0000        0.0000        0.0000
  39238.0000  06/05/2007       33.4820       32.7594        0.0000        0.0000        0.0000        0.0000
  39239.0000  06/06/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39240.0000  06/07/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39241.0000  06/08/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39242.0000  06/09/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39243.0000  06/10/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39244.0000  06/11/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39245.0000  06/12/2007        0.0000        0.0014        0.0000        0.0000        0.0000        0.0000
  39246.0000  06/13/2007       25.5766       25.4605        0.0000        0.0000        0.0000        0.0000
  39247.0000  06/14/2007       84.7268       83.8651        0.0000        0.0000        0.0000        0.0000
  39248.0000  06/15/2007       10.5918       10.5821        0.0000        0.0000        0.0000        0.0000
  39249.0000  06/16/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39250.0000  06/17/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39251.0000  06/18/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39252.0000  06/19/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39253.0000  06/20/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39254.0000  06/21/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39255.0000  06/22/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39256.0000  06/23/2007       15.8464       15.8410        0.0000        0.0000        0.0000        0.0000
  39257.0000  06/24/2007        0.0000        0.0018        0.0000        0.0000        0.0000        0.0000
  39258.0000  06/25/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39259.0000  06/26/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39260.0000  06/27/2007        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  39261.0000  06/28/2007        6.3151        6.3155        0.0000        0.0000        0.0000        0.0000
  39262.0000  06/29/2007       22.4127       22.4069        0.0000        0.0000        0.0000        0.0000
